query_number,cold_run,hot_run_1,hot_run_2
1,0.014819145202636719,0.0012998580932617188,0.001374959945678711
2,0.014448881149291992,0.002521991729736328,0.0022411346435546875
3,0.0026252269744873047,0.0026907920837402344,0.0020880699157714844
4,0.006307125091552734,0.0026569366455078125,0.0023338794708251953
5,1.5479910373687744,0.1992969512939453,0.08507800102233887
6,0.10036110877990723,0.049945831298828125,0.042829036712646484
7,0.0026369094848632812,0.002371072769165039,0.002321958541870117
8,0.002989053726196289,0.0027310848236083984,0.0026748180389404297
9,0.07439303398132324,0.07058405876159668,0.059860944747924805
10,0.0828709602355957,0.07914495468139648,0.1064140796661377
11,0.015551090240478516,0.015411853790283203,0.05355095863342285
12,0.03621506690979004,0.039849281311035156,0.0403292179107666
13,0.10971999168395996,0.14252996444702148,0.20230889320373535
14,0.5977792739868164,0.4613072872161865,0.3365199565887451
15,0.16202688217163086,0.14087724685668945,0.12138891220092773
16,0.09409618377685547,0.10930109024047852,0.0537571907043457
17,0.7249917984008789,0.6737461090087891,0.4417300224304199
18,0.5995650291442871,0.38265180587768555,0.31116628646850586
19,0.5272519588470459,0.502399206161499,0.4504849910736084
20,0.0036590099334716797,0.0033850669860839844,0.003289937973022461
21,0.042305946350097656,0.04215812683105469,0.042263031005859375
22,0.03362894058227539,0.03319215774536133,0.028522014617919922
23,0.04941082000732422,0.08330011367797852,0.0900869369506836
24,0.31464505195617676,0.35969996452331543,0.5089788436889648
25,0.08353114128112793,0.030346155166625977,0.018221139907836914
26,0.2120378017425537,0.2950448989868164,0.19574308395385742
27,0.14963674545288086,0.04205012321472168,0.04103899002075195
28,0.06078791618347168,0.022407054901123047,0.03445625305175781
29,1.8702452182769775,1.2040519714355469,1.1780259609222412
30,1.0436580181121826,0.31720399856567383,0.20552706718444824
31,0.42917895317077637,0.3073410987854004,0.11421966552734375
32,0.6552689075469971,0.43847131729125977,0.404494047164917
33,5.9263787269592285,1.8363351821899414,1.1186470985412598
34,2.9094839096069336,1.9485523700714111,2.7882981300354004
35,2.157241106033325,2.4619648456573486,2.5290541648864746
36,0.08299994468688965,0.10592818260192871,0.13053417205810547
37,0.010045051574707031,0.015575170516967773,0.009421110153198242
38,0.008589744567871094,0.005046844482421875,0.005133152008056641
39,0.004841804504394531,0.006695270538330078,0.00595402717590332
40,0.01947474479675293,0.03273773193359375,0.018085002899169922
41,0.005415916442871094,0.004508256912231445,0.006968975067138672
42,0.004075050354003906,0.004144906997680664,0.004216909408569336
43,0.016721248626708984,0.010177135467529297,0.007892131805419922
