groups,time
2^2,7.478925943374634
2^3,7.485380172729492
2^4,7.481856822967529
2^5,7.467088937759399
2^6,7.470638990402222
2^7,7.4782280921936035
2^8,7.504079103469849
2^9,7.510533094406128
2^10,7.547578811645508
2^11,7.594444990158081
2^12,7.645862340927124
2^13,7.646366357803345
2^14,7.8185107707977295
2^15,8.298399686813354
2^16,9.846813917160034
2^17,10.039793252944946
2^18,10.18106198310852
2^19,10.630606889724731
2^20,12.414072036743164
2^21,15.442126750946045
2^22,18.90233016014099
2^23,22.097965955734253
2^24,25.042176961898804
2^25,29.622063875198364
2^26,36.130894899368286
2^27,51.965327978134155
2^28,100.34919595718384
